Name	Id
mitochondrion Nematalosa erebi	316163.mitochondrion
Solanum sp. VFNT	73101
chloroplast Pinus balfouriana	3338.chloroplast
Stachytarpheta leaf curl virus - [Hn28]	290002
Fucus distichus	3012
mitochondrion Macrosiphoniella tanacetaria	132712.mitochondrion
chloroplast Corynocarpus similis	95448.chloroplast
Balanus rostratus	399131
Caridina japonica	293153
Lactococcus lactis subsp. lactis Il1403	272623
Pichia minuta var. minuta	53936
Oesophagostomum dentatum	61180
Bat coronavirus HKU4-4	424362
Bat coronavirus HKU4-3	424361
Bat coronavirus HKU4-2	424360
Bat coronavirus HKU4-1	424359
mitochondrion Aquila gurneyi	321090.mitochondrion
chloroplast Asterocladon interjectum	220838.chloroplast
mitochondrion Melanitta nigra	198027.mitochondrion
Sus sp.	9826
Streptomyces thermocyaneoviolaceus	106355
mitochondrion Diplophos taenia	91975.mitochondrion
Paralabidochromis sp. 'short snout scraper'	303558
mitochondrion Channa maculata	188791.mitochondrion
chloroplast Trillium foetidissimum	82484.chloroplast
Lipochromis sp. 'matumbi hunter'	400101
Zoysia tenuifolia	262758
mitochondrion Scarus rubroviolaceus	247628.mitochondrion
Grapevine Anatolian ringspot virus	223769
Acidovorax sp. TP4	77636
Bombina variegata	8348
Cucurbita argyrosperma	34294
Gregarina polymorpha	198477
Norwalk-like virus NLV/New Orleans/306/1994/US	171854
mitochondrion Apalis ruwenzorii	405071.mitochondrion
chloroplast Actinidia arguta	64478.chloroplast
mitochondrion Ficedula narcissina	36293.mitochondrion
mitochondrion Ctenophorus maculosus	180913.mitochondrion
Nostoc sp. PCC 8009	29413
chloroplast Porotrichum usagarum	195690.chloroplast
Mamestra configurata NPV-B	204440
chloroplast Baloskion tetraphyllum	98879.chloroplast
Mamestra configurata NPV-A	207830
chloroplast Acrocladium auriculatum	186686.chloroplast
mitochondrion Cricetulus migratorius	10032.mitochondrion
chloroplast Jensenia wallisii	310043.chloroplast
Gaussia princeps	351363
Pyrobaculum arsenaticum DSM 13514	340102
mitochondrion Siren lacertina	307977.mitochondrion
Amblyomma rotundatum	251395
(Populus tomentosa x P. bolleana) x P. tomentosa	418444
chloroplast Nicotiana benthamiana	4100.chloroplast
mitochondrion Euphonia laniirostris	62199.mitochondrion
mitochondrion Pionites leucogaster	345186.mitochondrion
chloroplast Nepenthes ephippiata	150960.chloroplast
Phytomonas sp.	28007
mitochondrion Zonotrichia querula	44390.mitochondrion
mitochondrion Rhipidomys wetzeli	89106.mitochondrion
chloroplast Utricularia alpina	192272.chloroplast
Gorilla gorilla	9593
Ovis ammon	30527
Thermoproteus sp. IC-070	278053
Giraffe coronavirus US/OH3-TC/2006	422141
Sarcoptes scabiei type hominis	197185
Xenopus laevis	8355
chloroplast Rhus chinensis var. roxburghii	298660.chloroplast
chloroplast Tillandsia albertiana	294031.chloroplast
mitochondrion Postelsia palmaeformis	105414.mitochondrion
Phoca sibirica	9719
Acinetobacter sp. EB104	156739
Aeromonas phage 25	233894
Mycoplasma capricolum	2095
Francisella tularensis subsp. mediasiatica	135248
Leptospira interrogans serovar Weerasinghe	400109
chloroplast Cicuta maculata var. maculata	271926.chloroplast
Nasalis larvatus	43780
SARS coronavirus ES191	385685
chloroplast Sphagnum tenerum	128248.chloroplast
Tomato yellow leaf curl Thailand virus associated DNA 1	240558
mitochondrion Setophaga ruticilla	182949.mitochondrion
mitochondrion Pimelodella chagresi	71257.mitochondrion
mitochondrion Pyrrhura melanura	311898.mitochondrion
IncP-1 plasmid pKJK5	382639
chloroplast Guzmania barbiei	294011.chloroplast
Pyrus hybrid cultivar	239770
mitochondrion Conopophaga lineata	137518.mitochondrion
Leishmania infantum	5671
Bournea leiophylla	421228
mitochondrion Rhodopsalta microdora	411403.mitochondrion
chloroplast Hygrochilus parishii	331205.chloroplast
chloroplast Pseudoroegneria spicata	4604.chloroplast
mitochondrion Sarotherodon galilaeus multifasciatus	296556.mitochondrion
mitochondrion Emballonura sp. JMW-2004	271461.mitochondrion
mitochondrion Hippoglossus hippoglossus	8267.mitochondrion
Eupatorium yellow vein virus satellite DNA beta	221054
mitochondrion Hexaprotodon liberiensis	56798.mitochondrion
Acinetobacter sp. LUH5605	309867
Bosea sp. 7F	204088
mitochondrion Melanocetus murrayi	181425.mitochondrion
Dogfennel yellows phytoplasma	363912
mitochondrion Leptophilypnus panamensis	308074.mitochondrion
chloroplast Anthopterus revolutus	249285.chloroplast
mitochondrion Canis latrans	9614.mitochondrion
chloroplast Mastigolejeunea ligulata	414203.chloroplast
chloroplast Utricularia olivacea	192308.chloroplast
Muntiacus muntjak muntjak	136226
chloroplast Dalbergia sissoo	107308.chloroplast
mitochondrion Rivulus rectocaudatus	60330.mitochondrion
Fluoribacter gormanii	464
mitochondrion Tripneustes gratilla	7673.mitochondrion
mitochondrion Poeciliopsis elongata	188125.mitochondrion
chloroplast Plagiochila longiramea	213993.chloroplast
Suillus bovinus	48563
Bacillus sp. S8553/2	340954
mitochondrion Sceloporus squamosus	110857.mitochondrion
chloroplast Clematis gentianoides	231649.chloroplast
Phialidium sp. SL-2003	258839
Ptychodera flava	63121
chloroplast Kaempferia rotunda	97754.chloroplast
Hypotrichida sp. KEC2002	200598
mitochondrion Ruscus aculeatus	59067.mitochondrion
Atropoides nummifer	44730
Candida tenuis	45596
Alcanivorax borkumensis SK2	393595
Leuconostoc mesenteroides	33965
Clostridium botulinum C	36828
Human rotavirus B strain CAL	106330
Choristoneura murinana	106494
chloroplast Primula incana	159008.chloroplast
mitochondrion Trogon mexicanus	59416.mitochondrion
mitochondrion Narceus annularus	174156.mitochondrion
mitochondrion Carassius cuvieri	52617.mitochondrion
Pseudomonas taetrolens	47884
mitochondrion Orchis italica	59334.mitochondrion
chloroplast Nepenthes villosa	151003.chloroplast
Citrobacter amalonaticus	35703
Lampetra tridentatus	245074
mitochondrion Maoricicada campbelli	124230.mitochondrion
Brevibacterium helvolum	1704
mitochondrion Cordylus sp. MMB-2003	249521.mitochondrion
Chlamydia suis	83559
mitochondrion Drosophila imaii	44481.mitochondrion
Hypophthalmichthys molitrix	13095
mitochondrion Pteronymia veia linzera	304567.mitochondrion
mitochondrion Bassariscus astutus	55047.mitochondrion
mitochondrion Trogon personatus	57437.mitochondrion
Citrus limon	2708
mitochondrion Calyptophilus frugivorus	340437.mitochondrion
Murine type C retrovirus	44561
Coffea canephora	49390
chloroplast Ranunculus lateriflorus	286927.chloroplast
chloroplast Trillium ovatum	82492.chloroplast
Indian cassava mosaic virus-[Ker6]	342106
Afipia sp. SP3302452	290207
La France disease virus	28373
Escherichia coli O111:NM	373045
mitochondrion Carcharhinus porosus	7810.mitochondrion
chloroplast Clematis potaninii	231658.chloroplast
Soybean mosaic virus N	12223
mitochondrion Vireo gilvus gilvus	34947.mitochondrion
Streptomyces sp. WP 4669	224730
chloroplast Satyrium acuminatum	62859.chloroplast
mitochondrion Perodicticus potto ibeanus	261737.mitochondrion
chloroplast Disporopsis longifolia	100535.chloroplast
Schistosoma mekongi	38744
mitochondrion Bufo kisoloensis	30334.mitochondrion
mitochondrion Herpestes naso	210648.mitochondrion
Chromohalobacter salexigens DSM 3043	290398
Norwalk-like virus NLV/UK3-17/12700/1992/GB	171849
Human papillomavirus type 6	31552
chloroplast Bactris humilis	169978.chloroplast
Thomomys bottae	10013
mitochondrion Plasmodium berghei	5823.mitochondrion
chloroplast Globba wengeri	199650.chloroplast
Verticillium dahliae	27337
mitochondrion Tilapia busumana	158774.mitochondrion
Pneumocystis murina	263815
mitochondrion Anolis pogus	145402.mitochondrion
Polysphondylium pallidum	13642
mitochondrion Spartopyge miranda	57369.mitochondrion
Sphingomonas sp. Alpha1-2	299160
chloroplast Populus nigra	3691.chloroplast
mitochondrion Anniella pulchra	51957.mitochondrion
Alvinella pompejana epibiont 6C6	244799
chloroplast Litsea rubicunda	384318.chloroplast
Thunnus maccoyii	8240
mitochondrion Phymaturus punae	167121.mitochondrion
Bacillus phage BCJA1c	294382
chloroplast Phacus acuminatus	130316.chloroplast
mitochondrion Lophuromys flavopunctatus (yellow-spotted	51348.mitochondrion
Chimonanthus praecox	13419
mitochondrion Geomys breviceps sagittalis	32531.mitochondrion
chloroplast Primula aureata	370649.chloroplast
Pyrus communis	23211
chloroplast Sphagnum cyclophyllum	128194.chloroplast
chloroplast Sericorema sericea	327019.chloroplast
Dendroaspis angusticeps	8618
mitochondrion Volvox carteri f. nagariensis	3068.mitochondrion
mitochondrion Rhabdocalyptus dawsoni	60887.mitochondrion
chloroplast Scyphularia triphylla	328222.chloroplast
mitochondrion Liolaemus orientalis	109468.mitochondrion
mitochondrion Suncus etruscus	109475.mitochondrion
Thermococcus sp. KS-1	79679
Feline panleukopenia virus	10787
mitochondrion Strophurus ciliaris	288420.mitochondrion
Thermococcus sp. KS-8	79680
Grapevine Algerian latent virus	208084
mitochondrion Barbus marequensis	136816.mitochondrion
mitochondrion Microtus abbreviatus	100894.mitochondrion
Nitrosomonas europaea	915
chloroplast Gazania splendens	13541.chloroplast
chloroplast Lejeunea pallescens	280556.chloroplast
chloroplast Micromeria graeca subsp. fruticulosa	306390.chloroplast
chloroplast Polygonatum humile	34195.chloroplast
chloroplast Colura tortifolia	414176.chloroplast
Sulfolobus sp. L00 11	303364
Bipolaris oryzae	33195
mitochondrion Leistes militaris	84809.mitochondrion
East African cassava mosaic Zanzibar virus	223275
mitochondrion Sterna vittata	297828.mitochondrion
mitochondrion Stenocercus roseiventris	179242.mitochondrion
chloroplast Equisetum arvense	3258.chloroplast
Gorilla gorilla gorilla	9595
Pseudomonas sp. PSBZ	129982
Macrovipera lebetina	8709
chloroplast Symplocos glaberrima	335930.chloroplast
Trachypithecus obscurus	54181
Aotus azarai boliviensis	280755
chloroplast Thecacoris cometia	283110.chloroplast
chloroplast Prenanthes purpurea	43204.chloroplast
mitochondrion Felis silvestris caffra	458416.mitochondrion
chloroplast Antirrhinum majus	4151.chloroplast
mitochondrion Myioborus castaneocapillus	328438.mitochondrion
chloroplast Leucobryum humillimum	252363.chloroplast
Pseudomonas phage D3112	10708
chloroplast Boesenbergia pulcherrima	199628.chloroplast
Bordetella pertussis Tohama I	257313
mitochondrion Rypticus saponaceus	160742.mitochondrion
chloroplast Cladrastis platycarpa	247908.chloroplast
mitochondrion Iphiteon panicea	436082.mitochondrion
mitochondrion Osteoglossum bicirrhosum	109271.mitochondrion
mitochondrion Symphyllia radians	242742.mitochondrion
Foot-and-mouth disease virus - type C	12116
Foot-and-mouth disease virus - type A	12111
Gentiana lutea	38851
Staphylococcus phage 80alpha	53369
mitochondrion Rhinolophus sp. JMW-2004b	271465.mitochondrion
Foot-and-mouth disease virus - type O	12118
Brachyspira innocens	13264
